delay_(ps),twofold1_(counts_per_600s),twofold1err_(counts_per_600s),threefold_(counts_per_600s),threefolderr_(counts_per_600s)
40.0,58515.0,241.89873914512245,34.0,5.830951894845301
80.0,56023.0,236.69178270485014,33.0,5.744562646538029
120.0,58405.0,241.67126432408136,29.0,5.385164807134504
160.0,55701.0,236.0105929826032,21.0,4.58257569495584
200.0,58302.0,241.45807089430662,27.0,5.196152422706632
240.0,55538.0,235.6650164958728,37.0,6.082762530298219
280.0,58747.0,242.3778042643344,40.0,6.324555320336759
320.0,55145.0,234.8297255459794,30.0,5.477225575051661
360.0,57795.0,240.40590674939747,32.0,5.656854249492381
400.0,54987.0,234.49307026008253,31.0,5.5677643628300215
440.0,57201.0,239.1673054579158,37.0,6.082762530298219
480.0,54240.0,232.8948260481542,24.0,4.898979485566356
520.0,56383.0,237.45104758665522,18.0,4.242640687119285
560.0,53394.0,231.07141753146362,21.0,4.58257569495584
600.0,55544.0,235.6777460856243,17.0,4.123105625617661
640.0,51583.0,227.11891158597956,14.0,3.7416573867739413
680.0,54055.0,232.49731181241646,11.0,3.3166247903554
720.0,50960.0,225.7432169523594,10.0,3.1622776601683795
760.0,54302.0,233.02789532586007,22.0,4.69041575982343
800.0,51911.0,227.83985603928036,16.0,4.0
840.0,54565.0,233.59152381882353,18.0,4.242640687119285
880.0,51938.0,227.89910048089263,24.0,4.898979485566356
920.0,55816.0,236.25410049351524,35.0,5.916079783099616
960.0,53212.0,230.6772637257517,26.0,5.0990195135927845
1000.0,56193.0,237.05062750391528,32.0,5.656854249492381
1040.0,53484.0,231.2660805219823,27.0,5.196152422706632
1080.0,56742.0,238.20579338042978,35.0,5.916079783099616
1120.0,53655.0,231.63548950884015,28.0,5.291502622129181
1160.0,56539.0,237.77930944470336,35.0,5.916079783099616
1200.0,53206.0,230.66425817625063,34.0,5.830951894845301
1240.0,56074.0,236.799493242701,43.0,6.557438524302
1280.0,52731.0,229.63231479911533,31.0,5.5677643628300215
1320.0,55049.0,234.62523308459387,34.0,5.830951894845301
1360.0,52502.0,229.1331490640322,28.0,5.291502622129181
1400.0,55249.0,235.0510582830888,34.0,5.830951894845301
